row_id,user_id,variant,device,converted,session_length_sec
1,1001,0,0,0,60
2,1002,1,0,0,60
3,1003,0,0,0,60
4,1004,1,0,0,60
5,1005,0,0,0,60
6,1006,1,0,0,60
7,1007,0,0,0,60
8,1008,1,0,0,60
9,1009,0,0,0,60
10,1010,1,0,0,60
11,1011,0,0,0,120
12,1012,1,0,0,120
13,1013,0,0,1,120
14,1014,1,0,0,120
15,1015,0,0,0,120
16,1016,1,0,0,120
17,1017,0,0,0,120
18,1018,1,0,0,120
19,1019,0,0,0,120
20,1020,1,0,0,120
21,1021,0,0,0,180
22,1022,1,0,0,180
23,1023,0,0,0,180
24,1024,1,0,0,180
25,1025,0,0,0,180
26,1026,1,1,0,180
27,1027,0,1,0,180
28,1028,1,1,0,180
29,1029,0,1,0,180
30,1030,1,1,0,180
31,1031,0,1,0,300
32,1032,1,1,0,300
33,1033,0,1,0,300
34,1034,1,1,0,300
35,1035,0,1,0,300
36,1036,1,1,0,300
37,1037,0,1,0,300
38,1038,1,1,0,300
39,1039,0,1,0,300
40,1040,1,1,0,300
41,1041,0,1,0,600
42,1042,1,1,1,600
43,1043,0,1,0,600
44,1044,1,1,0,600
45,1045,0,1,0,600
46,1046,1,1,0,600
47,1047,0,1,0,600
48,1048,1,1,0,600
49,1049,0,1,0,600
50,1050,1,1,0,600
